cluster_id,cluster_name,company_count,return_on_equity_pct_mean,return_on_equity_pct_median,debt_to_equity_mean,debt_to_equity_median,revenue_cagr_5yr_mean,revenue_cagr_5yr_median,fcf_cagr_5yr_mean,fcf_cagr_5yr_median,operating_profit_margin_pct_mean,operating_profit_margin_pct_median
0,Diversified Core,60,21.887921717121905,17.003836774901735,0.6125833333333333,0.24,11.363,10.645,11.658394647522083,11.171998627380564,19.44040477331568,19.093200798964084
1,High-Margin Defensives,14,78.21695182267047,14.683950452408107,0.7021428571428572,0.07,14.331071428571429,13.344999999999999,12.98424324130308,10.0075004637864,81.41771687799938,85.09494448497861
2,Emerging Growth,2,4280.315266810242,4280.315266810242,0.565,0.565,9.73,9.73,37.789734468642024,37.789734468642024,28.50509624083592,28.50509624083592
3,Financials & Lenders,15,20.39237090884114,16.716051794688113,7.231333333333334,6.81,19.019333333333336,18.18,-5.888686660316068,-7.360467011220518,50.41008890882531,38.55469091544986
4,High-Quality Compounder,1,15.554557028383135,15.554557028383135,0.02,0.02,9.51,9.51,228.75036590344516,228.75036590344516,75.59168153953597,75.59168153953597
