company_id,year,source_opm,computed_opm,difference,valid
ADANIENSOL,2024-03,30.0,34.38911302462817,4.389113024628173,False
AXISBANK,2013-03,1353.0,30.58161350844278,1322.4183864915572,False
AXISBANK,2014-03,2307.0,31.474168597630626,2275.5258314023695,False
AXISBANK,2015-03,3097.0,31.36221426759492,3065.637785732405,False
AXISBANK,2016-03,3466.0,32.611983995315704,3433.3880160046842,False
AXISBANK,2017-03,-5715.0,53.450675766692115,5768.450675766692,False
AXISBANK,2018-03,-10277.0,63.11708169506335,10340.117081695063,False
AXISBANK,2019-03,-5447.0,49.385298075873855,5496.385298075874,False
AXISBANK,2020-03,-9859.0,55.984673106090845,9914.984673106092,False
AXISBANK,2021-03,-2510.0,50.119976004799035,2560.119976004799,False
AXISBANK,2022-03,3170.0,44.4691808777476,3125.5308191222525,False
AXISBANK,2023-03,13857.0,34.15645108261707,13822.843548917383,False
AXISBANK,2024-03,11952.0,34.69264599658038,11917.30735400342,False
AXISBANK,TTM,9061.0,36.935495901673306,9024.064504098327,False
BAJFINANCE,2015-03,1367.0,32.49258160237389,1334.5074183976262,False
BAJFINANCE,2016-03,1986.0,32.25099328675161,1953.7490067132485,False
BAJFINANCE,2017-03,2867.0,32.59779338014042,2834.4022066198595,False
BAJFINANCE,2018-03,3935.0,32.28463831790366,3902.7153616820965,False
BAJFINANCE,2019-03,6310.0,29.501812084167252,6280.498187915833,False
BAJFINANCE,2020-03,7608.0,34.72738302874043,7573.27261697126,False
BAJFINANCE,2021-03,6314.0,40.63659880778315,6273.363401192217,False
BAJFINANCE,2022-03,9906.0,37.546221674409786,9868.453778325591,False
BAJFINANCE,2023-03,16018.0,30.65127623095313,15987.348723769046,False
BAJFINANCE,2024-03,19987.0,29.285818234737686,19957.714181765263,False
BAJFINANCE,TTM,21417.0,30.416352221455067,21386.583647778545,False
BANKBARODA,2013-03,1006.0,30.047747104988748,975.9522528950113,False
BANKBARODA,2014-03,809.0,29.777821713664338,779.2221782863356,False
BANKBARODA,2015-03,902.0,29.981075364577535,872.0189246354224,False
BANKBARODA,2016-03,-11700.0,55.440075110810284,11755.44007511081,False
BANKBARODA,2017-03,-4372.0,43.28468958694039,4415.284689586941,False
BANKBARODA,2018-03,-9197.0,56.654941809970474,9253.654941809971,False
BANKBARODA,2019-03,-5414.0,48.79408762711223,5462.794087627112,False
BANKBARODA,2020-03,-11728.0,51.439254705621394,11779.439254705621,False
BANKBARODA,2021-03,-6957.0,51.22857065963344,7008.228570659633,False
BANKBARODA,2022-03,-2948.0,51.12488928255093,2999.124889282551,False
BANKBARODA,2023-03,6329.0,40.45480037670762,6288.545199623292,False
BANKBARODA,2024-03,4102.0,37.4889127294537,4064.5110872705463,False
BANKBARODA,TTM,3526.0,37.423475963397344,3488.5765240366027,False
CANBK,2013-03,655.0,21.182858820076316,633.8171411799237,False
CANBK,2014-03,-672.0,24.351781652767247,696.3517816527673,False
CANBK,2015-03,-621.0,23.513569032022456,644.5135690320225,False
CANBK,2016-03,-8008.0,40.38465905220373,8048.3846590522035,False
CANBK,2017-03,-5775.0,37.84885544057698,5812.848855440577,False
CANBK,2018-03,-13350.0,61.874470915467406,13411.874470915467,False
CANBK,2019-03,-11590.0,56.72874392609122,11646.72874392609,False
CANBK,2020-03,-12867.0,53.87769046805603,12920.877690468056,False
CANBK,2021-03,-18367.0,61.82938806883692,18428.829388068836,False
CANBK,2022-03,-13657.0,58.39493584841533,13715.394935848415,False
CANBK,2023-03,-9877.0,49.80147872154625,9926.801478721547,False
CANBK,2024-03,-7745.0,41.753906568101414,7786.753906568101,False
CANBK,TTM,-8985.0,40.22547574376843,9025.225475743768,False
CHOLAFIN,2013-03,472.0,26.770428015564203,445.2295719844358,False
CHOLAFIN,2014-03,578.0,28.42329978652028,549.5767002134797,False
CHOLAFIN,2015-03,696.0,28.559892328398384,667.4401076716016,False
